2501
3
1 47 93 1.0 1.0 1.0
1.05227 48.0987 92.992 1.0 1.0 1.0
0.872099 49.9065 94.0453 1.0 1.0 1.0
10
2.92667 140.045 70.8412 1.0 1.0 1.0
2.98991 137.034 70.8567 1.0 1.0 1.0
2.76613 134.062 70.9936 1.0 1.0 1.0
2.01599 130.159 71.4385 1.0 1.0 1.0
1.89178 128.113 71.6809 1.0 1.0 1.0
1.90384 126.055 71.9419 1.0 1.0 1.0
1.85766 124.031 72.2303 1.0 1.0 1.0
1.58012 122.008 72.4236 1.0 1.0 1.0
0.774068 118.021 72.6593 1.0 1.0 1.0
1.22593 115.979 73.3407 1.0 1.0 1.0
8
1.3346 115.959 73.7461 1.0 1.0 1.0
1.1052 118.026 73.2929 1.0 1.0 1.0
1.09673 120.092 72.9044 1.0 1.0 1.0
1.78783 124.072 72.5514 1.0 1.0 1.0
1.9923 128.059 72.6316 1.0 1.0 1.0
2.00413 130.074 72.4903 1.0 1.0 1.0
2.06582 132.086 72.3474 1.0 1.0 1.0
2.20549 134.081 72.3661 1.0 1.0 1.0
3
1 121 71 1.0 1.0 1.0
1.2973 122.059 71.0077 1.0 1.0 1.0
1.5907 124.014 70.7019 1.0 1.0 1.0
9
0.945902 115.924 73.8876 1.0 1.0 1.0
0.707612 117.936 73.415 1.0 1.0 1.0
0.669906 119.951 73.0324 1.0 1.0 1.0
0.959428 121.985 72.8014 1.0 1.0 1.0
1.39101 124.026 72.6765 1.0 1.0 1.0
1.74096 126.045 72.5917 1.0 1.0 1.0
1.9788 128.072 72.5157 1.0 1.0 1.0
2.15341 131.031 72.3922 1.0 1.0 1.0
2.21699 134.001 72.2567 1.0 1.0 1.0
10
0.838628 121.925 71.1682 1.0 1.0 1.0
1.30701 123.953 70.8852 1.0 1.0 1.0
1.64233 126.004 70.6142 1.0 1.0 1.0
1.78756 128.051 70.3635 1.0 1.0 1.0
1.99461 130.082 70.1007 1.0 1.0 1.0
3.02677 134.072 69.3328 1.0 1.0 1.0
3.54626 138.042 68.4976 1.0 1.0 1.0
3.55768 142 69.0373 1.0 1.0 1.0
3.00191 144.052 69.0475 1.0 1.0 1.0
2.17543 146.06 68.8098 1.0 1.0 1.0
7
0.571231 116.069 74.0153 1.0 1.0 1.0
0.336314 119.91 73.222 1.0 1.0 1.0
0.610448 121.997 72.997 1.0 1.0 1.0
1.03351 124.088 72.8399 1.0 1.0 1.0
1.53308 127.079 72.5581 1.0 1.0 1.0
1.87428 130.084 72.3078 1.0 1.0 1.0
2.17122 134.064 72.1906 1.0 1.0 1.0
3
0.933505 126.059 74.5994 1.0 1.0 1.0
0.902945 124.064 74.7369 1.0 1.0 1.0
1 123 75 1.0 1.0 1.0
10
0.442068 121.984 71.4255 1.0 1.0 1.0
0.865061 124.021 71.1614 1.0 1.0 1.0
1.26453 126.061 70.8803 1.0 1.0 1.0
1.99797 129.995 70.3232 1.0 1.0 1.0
2.45322 132.027 70.0893 1.0 1.0 1.0
2.88224 134.051 69.7432 1.0 1.0 1.0
3.40173 138.021 68.908 1.0 1.0 1.0
3.53644 140.057 69.1249 1.0 1.0 1.0
3.4119 142.078 69.466 1.0 1.0 1.0
2.06066 146.043 69.2393 1.0 1.0 1.0
9
0.297727 116.737 74.0187 1.0 1.0 1.0
0.604306 119.33 73.6909 1.0 1.0 1.0
0.836764 121.931 73.3803 1.0 1.0 1.0
0.836764 121.931 73.3803 1.0 1.0 1.0
0.948484 124.013 73.15 1.0 1.0 1.0
1.10232 126.092 72.9108 1.0 1.0 1.0
1.54589 129.081 72.5408 1.0 1.0 1.0
1.98491 132.079 72.3237 1.0 1.0 1.0
2.1336 134.073 72.3391 1.0 1.0 1.0
3
0.983192 123.903 75.0756 1.0 1.0 1.0
1 125 75 1.0 1.0 1.0
1.01681 126.097 74.9244 1.0 1.0 1.0
4
1 127 69 1.0 1.0 1.0
1.14649 128.008 68.5849 1.0 1.0 1.0
2.03568 129.994 68.262 1.0 1.0 1.0
2.02715 130.093 68.2489 1.0 1.0 1.0
9
0.177734 123.933 71.3851 1.0 1.0 1.0
0.753459 125.985 71.1153 1.0 1.0 1.0
1.31726 128.042 70.8434 1.0 1.0 1.0
1.84356 130.052 70.566 1.0 1.0 1.0
2.33175 132.063 70.2335 1.0 1.0 1.0
3.08238 136.018 69.489 1.0 1.0 1.0
3.27308 138.041 69.3036 1.0 1.0 1.0
3.25473 140.073 69.2919 1.0 1.0 1.0
2.57848 144.035 69.6423 1.0 1.0 1.0
6
0.542606 121.958 73.4526 1.0 1.0 1.0
0.749118 124.484 73.2562 1.0 1.0 1.0
1 127 73 1.0 1.0 1.0
1.32563 129.503 72.6682 1.0 1.0 1.0
1.69895 132.005 72.4235 1.0 1.0 1.0
2.0169 134.08 72.3812 1.0 1.0 1.0
3
0.899289 123.917 74.9905 1.0 1.0 1.0
0.92985 125.912 74.8531 1.0 1.0 1.0
1 127 75 1.0 1.0 1.0
5
0.514989 127.917 69.1761 1.0 1.0 1.0
2.00695 131.771 68.4764 1.0 1.0 1.0
2.64375 133.884 67.8317 1.0 1.0 1.0
3.03345 136.045 67.1711 1.0 1.0 1.0
3.14926 138.09 66.706 1.0 1.0 1.0
7
0.0912648 125.975 71.5099 1.0 1.0 1.0
0.705687 128 71.1359 1.0 1.0 1.0
1.30306 130.036 70.7891 1.0 1.0 1.0
1.83734 132.048 70.4964 1.0 1.0 1.0
2.22606 134.094 70.2435 1.0 1.0 1.0
2.41907 138.078 69.9804 1.0 1.0 1.0
2.40103 140.074 70.0897 1.0 1.0 1.0
6
0.224838 121.902 73.661 1.0 1.0 1.0
0.30252 123.937 73.4154 1.0 1.0 1.0
0.474833 125.964 73.1931 1.0 1.0 1.0
0.799925 128.019 73.0014 1.0 1.0 1.0
1.14254 130.073 72.8055 1.0 1.0 1.0
1.37188 132.047 72.5819 1.0 1.0 1.0
4
0.681036 129.969 69.2123 1.0 1.0 1.0
1.38404 131.986 68.6715 1.0 1.0 1.0
1.94875 134.028 68.1138 1.0 1.0 1.0
2.47036 138.022 66.9835 1.0 1.0 1.0
4
0.165943 127.959 71.5246 1.0 1.0 1.0
0.747117 130.002 71.1941 1.0 1.0 1.0
1.25548 132.063 70.8781 1.0 1.0 1.0
1.93073 136.049 70.3355 1.0 1.0 1.0
5
0.0367442 123.916 73.6455 1.0 1.0 1.0
0.333075 125.942 73.5995 1.0 1.0 1.0
0.614702 127.963 73.4766 1.0 1.0 1.0
0.878158 130.027 73.2173 1.0 1.0 1.0
